Session,Date,Speaker,Age,Record #,Group #,Tier,Range,Result,Orthography,IPA Target,IPA Actual,Exact Match,IPA Target CV,IPA Actual CV,CV Match,IPA Target Syllable Count,IPA Actual Syllable Count,Syllable Count Match
Naima.030000,14/03/2004,Naima,03;00.00,2,1,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),no ↔ ˈnoʊ; ˈno,no,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,4,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..2); (0..2),the ↔ ðə; ðə,the,ðə,ðə,TRUE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,4,2,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..7); (0..6),baby ↔ ˈbeɪbiː; ˈbeɪbi,baby,beɪbi,beɪbi,TRUE,CVVCV,CVVCV,TRUE,5,5,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,4,3,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..5),wants ↔ ˈwɑnts; ˈwɑnt,wants,wɑnts,wɑnt,FALSE,GVCCC,GVCC,FALSE,5,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,4,4,Orthography ↔ IPA Target; IPA Actual,(0..1) ↔ (0..1); (0..1),a ↔ ə; ə,a,ə,ə,TRUE,V,V,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,4,5,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..7); (0..7),diaper ↔ ˈdaɪpəɹ; ˈdaɪbɜ˞,diaper,daɪpəɹ,daɪbɜ,FALSE,CVVCVC,CVVCV,FALSE,6,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,6,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..1),xxx ↔ *; *,xxx,*,*,TRUE,*,*,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,6,2,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..3); (0..2),it ↔ ˈɪt; ɪʔ,it,ɪt,ɪʔ,FALSE,VC,VC,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,6,3,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..5),needs ↔ ˈniːdz; ˈnidz,needs,nidz,nidz,TRUE,CVCC,CVCC,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,6,5,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..7); (0..7),diaper ↔ ˈdaɪpəɹ; ˈdaɪbɜ˞,diaper,daɪpəɹ,daɪbɜ,FALSE,CVVCVC,CVVCV,FALSE,6,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,8,1,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..4),no ↔ ˈnoʊ; ˈnoː,no,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,8,2,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..4),it's ↔ ˈɪts; ˈɪts,it's,ɪts,ɪts,TRUE,VCC,VCC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,8,3,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),not ↔ ˈnɑt; ˈnɑː,not,nɑt,nɑ,FALSE,CVC,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,9,1,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..1); (0..1),xxx ↔ *; *,xxx,*,*,TRUE,*,*,TRUE,1,1,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,11,1,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),no ↔ ˈnoʊ; ˈno,no,noʊ,no,FALSE,CVV,CV,FALSE,3,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,11,2,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..6),no ↔ ˈnoʊ; ˈnʌnən,no,noʊ,nʌnən,FALSE,CVV,CVCVC,FALSE,3,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,13,1,Orthography ↔ IPA Target; IPA Actual,(2..5) ↔ (0..4); (0..4),not ↔ ˈnɑt; ˈnɑt,not,nɑt,nɑt,TRUE,CVC,CVC,TRUE,3,3,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,13,2,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..5),happy ↔ ˈhæpiː; ˈhæpi,happy,hæpi,hæpi,TRUE,CVCV,CVCV,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,13,3,Orthography ↔ IPA Target; IPA Actual,(0..8) ↔ (0..9); (0..3),birthday ↔ ˈbʌɹθˌdeɪ; ˈbʌ,birthday,bʌɹθdeɪ,bʌ,FALSE,CVCCCVV,CV,FALSE,7,2,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,13,4,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),to ↔ ˈtuː; ˈtu,to,tu,tu,TRUE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,13,5,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),you ↔ ˈjuː; ˈjuː,you,ju,ju,TRUE,GV,GV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,13,6,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..5),happy ↔ ˈhæpiː; ˈhæbi,happy,hæpi,hæbi,FALSE,CVCV,CVCV,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,13,7,Orthography ↔ IPA Target; IPA Actual,(0..8) ↔ (0..9); (0..7),birthday ↔ ˈbʌɹθˌdeɪ; ˈbɜ˞ːdɪ,birthday,bʌɹθdeɪ,bɜdɪ,FALSE,CVCCCVV,CVCV,FALSE,7,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,13,8,Orthography ↔ IPA Target; IPA Actual,(0..4) ↔ (0..4); (0..4),dear ↔ ˈdɪɹ; deɪə,dear,dɪɹ,deɪə,FALSE,CVC,CVVV,FALSE,3,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,13,9,Orthography ↔ IPA Target; IPA Actual,(0..6) ↔ (0..7); (0..7),nursie ↔ ˈnʌɹsiː; ˈnɜ˞θiː,nursie,nʌɹsi,nɜθi,FALSE,CVCCV,CVCV,FALSE,5,4,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,15,1,Orthography ↔ IPA Target; IPA Actual,(0..5) ↔ (0..6); (0..5),happy ↔ ˈhæpiː; ˈhæhi,happy,hæpi,hæhi,FALSE,CVCV,CVCV,TRUE,4,4,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,15,2,Orthography ↔ IPA Target; IPA Actual,(0..8) ↔ (0..9); (0..6),birthday ↔ ˈbʌɹθˌdeɪ; ˈwʌðdɪ,birthday,bʌɹθdeɪ,wʌðdɪ,FALSE,CVCCCVV,GVCCV,FALSE,7,5,FALSE
Naima.030000,14/03/2004,Naima,03;00.00,15,3,Orthography ↔ IPA Target; IPA Actual,(0..2) ↔ (0..4); (0..3),to ↔ ˈtuː; ˈtu,to,tu,tu,TRUE,CV,CV,TRUE,2,2,TRUE
Naima.030000,14/03/2004,Naima,03;00.00,15,4,Orthography ↔ IPA Target; IPA Actual,(0..3) ↔ (0..4); (0..4),you ↔ ˈjuː; ˈjuː,you,ju,ju,TRUE,GV,GV,TRUE,2,2,TRUE
